MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
sent to joe with vdw attachments	FILES	sent to <contact_name_to> joe </contact_name_to> with <attachment_type> vdw </attachment_type> <attachment> attachments </attachment>	search_email
files from lijah to leah with tsv attachments	FILES	 files  from <contact_name_from> lijah </contact_name_from> to <contact_name_to> leah </contact_name_to> with <attachment_type> tsv </attachment_type> <attachment> attachments </attachment>	search_email
i need to see my file from december that have attachments	FILES	i need to see my  file  from <start_date> december </start_date> that have <attachment> attachments </attachment>	search_email
files containing attachments from december	FILES	 files  containing <attachment> attachments </attachment> from <start_date> december </start_date>	search_email
files on tuberculosis from august 5 to september 7 with attachment	FILES	 files  on <keyword> tuberculosis </keyword> from <start_date> august 5 </start_date> to <end_date> september 7 </end_date> with <attachment> attachment </attachment>	search_email
excel attachment from goku	FILES	<attachment_type> excel </attachment_type> <attachment> attachment </attachment> from <contact_name_from> goku </contact_name_from>	search_email
files from joe with xlsx attachment	FILES	 files  from <contact_name_from> joe </contact_name_from> with <attachment_type> xlsx </attachment_type> <attachment> attachment </attachment>	search_email
file from visa has attachments	FILES	 file  from <contact_name_from> visa </contact_name_from> has <attachment> attachments </attachment>	search_email
files with attachment png	FILES	 files  with <attachment> attachment </attachment> <attachment_type> png </attachment_type>	search_email
file from colin with an attachment	FILES	 file  from <contact_name_from> colin </contact_name_from> with an <attachment> attachment </attachment>	search_email
i want to see wes attachments with ppts	FILES	i want to see <contact_name> wes </contact_name> <attachment> attachments </attachment> with <attachment_type> ppts </attachment_type>	search_email
file from jason that has attachments	FILES	 file  from <contact_name_from> jason </contact_name_from> that has <attachment> attachments </attachment>	search_email
files from ron with attachment about dogs	FILES	 files  from <contact_name_from> ron </contact_name_from> with <attachment> attachment </attachment> about <keyword> dogs </keyword>	search_email
files with mpt attachments from february	FILES	 files  with <attachment_type> mpt </attachment_type> <attachment> attachments </attachment> from <start_date> february </start_date>	search_email
to lia pdfs attachment	FILES	to <contact_name_to> lia </contact_name_to> <attachment_type> pdfs </attachment_type> <attachment> attachment </attachment>	search_email
show me recent documents attachments	FILES	show me <order_ref> recent </order_ref> <attachment_type> documents </attachment_type> <attachment> attachments </attachment>	search_email
country music attachments from september to october	FILES	<keyword> country music </keyword> <attachment> attachments </attachment> from <start_date> september </start_date> to <end_date> october </end_date>	search_email
organize mailbox to show files with attachments	FILES	<keyword> organize mailbox </keyword> to show  files  with <attachment> attachments </attachment>	search_email
files s with attachment in them	FILES	 files  s with <attachment> attachment </attachment> in them	search_email
from tao with attachment	FILES	from <contact_name_from> tao </contact_name_from> <attachment> with attachment </attachment>	search_email
file sent in august that contained attachment	FILES	 file  sent in <start_date> august </start_date> that contained <attachment> attachment </attachment>	search_email
group selection attachment file from monday	FILES	<keyword> group selection </keyword> <attachment> attachment </attachment>  file  from <start_date> monday </start_date>	search_email
file from christian and june with attachment	FILES	 file  from <contact_name_from> christian </contact_name_from> and <contact_name_from> june </contact_name_from> with <attachment> attachment </attachment>	search_email
word attachment from goku	FILES	<attachment_type> word </attachment_type> <attachment> attachment </attachment> from <contact_name_from> goku </contact_name_from>	search_email
file with vst attachment from last two months	FILES	 file  with <attachment_type> vst </attachment_type> <attachment> attachment </attachment> from <start_date> last two months </start_date>	search_email
files with attachment of vstm	FILES	 files  with <attachment> attachment </attachment> of <attachment_type> vstm </attachment_type>	search_email
funny cat mpp attachment in file	FILES	<keyword> funny cat </keyword> <attachment_type> mpp </attachment_type> <attachment> attachment </attachment> in  file 	search_email
files from lijah to leah with vsdx attachments	FILES	 files  from <contact_name_from> lijah </contact_name_from> to <contact_name_to> leah </contact_name_to> with <attachment_type> vsdx </attachment_type> <attachment> attachments </attachment>	search_email
find any file i got last week that had attachments	FILES	find any  file  <relationship_name_to> i </relationship_name_to> got <start_date> last week </start_date> that had <attachment> attachments </attachment>	search_email
to lia excels attachment	FILES	to <contact_name_to> lia </contact_name_to> <attachment_type> excels </attachment_type> <attachment> attachment </attachment>	search_email
ryan work ics attachment	FILES	<contact_name> ryan </contact_name> <keyword> work </keyword> <attachment_type> ics </attachment_type> <attachment> attachment </attachment>	search_email
from malik with onenote attachment	FILES	from <contact_name_from> malik </contact_name_from> with <attachment_type> onenote </attachment_type> <attachment> attachment </attachment>	search_email
view all file containing an attachment	FILES	view all  file  containing an <attachment> attachment </attachment>	search_email
what is last attachment that jose gomezangulo sent me	FILES	what is <order_ref> last </order_ref> <attachment> attachment </attachment> that <contact_name_from> jose gomezangulo </contact_name_from> sent me	search_email
show me files with decks attachments	FILES	show me  files  with <attachment_type> decks </attachment_type> <attachment> attachments </attachment>	search_email
attachments from last weekend	FILES	<attachment> attachments </attachment> from <start_date> last weekend </start_date>	search_email
show attachments march 1 to 15	FILES	show <attachment> attachments </attachment> <start_date> march 1 </start_date> to <end_date> 15 </end_date>	search_email
dress code file from management with attachments	FILES	<keyword> dress code </keyword>  file  from <contact_name_from> management </contact_name_from> with <attachment> attachments </attachment>	search_email
files with vss attachment from last two months	FILES	 files  with <attachment_type> vss </attachment_type> <attachment> attachment </attachment> from <start_date> last two months </start_date>	search_email
files with invoice attachment	FILES	 files  with <keyword> invoice </keyword> <attachment> attachment </attachment>	search_email
from lauren with attachment	FILES	from <contact_name_from> lauren </contact_name_from> with <attachment> attachment </attachment>	search_email
files from aria with attachments	FILES	 files  from <contact_name_from> aria </contact_name_from> with <attachment> attachments </attachment>	search_email
file from juniper to george with attachment from last week	FILES	 file  from <contact_name_from> juniper </contact_name_from> to <contact_name_to> george </contact_name_to> with <attachment> attachment </attachment> from <start_date> last week </start_date>	search_email
file attachment from chris	FILES	 file  <attachment> attachment </attachment> from <contact_name_from> chris </contact_name_from>	search_email
i sent attachments	FILES	i <email_state> sent </email_state> <attachment> attachments </attachment>	search_email
files about wedding announcement with attachment	FILES	 files  about <keyword> wedding announcement </keyword> with <attachment> attachment </attachment>	search_email
sending some attachment to jane doe	FILES	sending some <attachment> attachment </attachment> to <contact_name_to> jane doe </contact_name_to>	search_email
office files with attachment	FILES	<keyword> office </keyword>  files  with <attachment> attachment </attachment>	search_email
find research study attachments in file	FILES	find <keyword> research study </keyword> <attachment> attachments </attachment> in  file 	search_email
december files with spreadsheet attachment	FILES	<start_date> december </start_date>  files  with <attachment_type> spreadsheet </attachment_type> <attachment> attachment </attachment>	search_email
file to dave with attachment	FILES	 file  to <contact_name_to> dave </contact_name_to> with <attachment> attachment </attachment>	search_email
carmens messages from last week with attachment	FILES	<contact_name> carmen </contact_name> s messages from <start_date> last week </start_date> with <attachment> attachment </attachment>	search_email
file about recycling programs with attachments	FILES	 file  about <keyword> recycling programs </keyword> with <attachment> attachments </attachment>	search_email
file sent to other teachers with attachment	FILES	 file  sent to <contact_name_to> other teachers </contact_name_to> with <attachment> attachment </attachment>	search_email
files attachment from buster to lucille	FILES	 files  <attachment> attachment </attachment> from <contact_name_from> buster </contact_name_from> to <contact_name_to> lucille </contact_name_to>	search_email
attachments contained in file	FILES	<attachment> attachments </attachment> contained in  file 	search_email
locate and open attachments from my files last august	FILES	locate and open <attachment> attachments </attachment> from my  files  <start_date> last august </start_date>	search_email
april file with vss attachment	FILES	<start_date> april </start_date>  file  with <attachment_type> vss </attachment_type> <attachment> attachment </attachment>	search_email
file from anna to bates about engagement with xlsx attachments from june 2015	FILES	 file  from <contact_name_from> anna </contact_name_from> to <contact_name_to> bates </contact_name_to> about <keyword> engagement </keyword> with <attachment_type> xlsx </attachment_type> <attachment> attachments </attachment> from <start_date> june 2015 </start_date>	search_email
from liza attachment vsd	FILES	from <contact_name_from> liza </contact_name_from> <attachment> attachment </attachment> <attachment_type> vsd </attachment_type>	search_email
spreadsheets attachments from lia	FILES	<attachment_type> spreadsheets </attachment_type> <attachment> attachments </attachment> from <contact_name_from> lia </contact_name_from>	search_email
from byungki with attachment	FILES	from <contact_name_from> byungki </contact_name_from> with <attachment> attachment </attachment>	search_email
look for documents attachments	FILES	look for <attachment_type> documents </attachment_type> <attachment> attachments </attachment>	search_email
interesting show me files from malik with attachments	FILES	interesting show me  files  from <contact_name_from> malik </contact_name_from> with <attachment> attachments </attachment>	search_email
bring up files and attachment from mary	FILES	bring up  files  and <attachment> attachment </attachment> from <contact_name_from> mary </contact_name_from>	search_email
files from saurabh with attachments	FILES	 files  from <contact_name_from> saurabh </contact_name_from> with <attachment> attachments </attachment>	search_email
from tao file with attachment	FILES	from <contact_name_from> tao </contact_name_from>  file  with <attachment> attachment </attachment>	search_email
ppt attachment from january	FILES	<attachment_type> ppt </attachment_type> <attachment> attachment </attachment> from <start_date> january </start_date>	search_email
attachment files march	FILES	<attachment> attachment </attachment>  files  <start_date> march </start_date>	search_email
june 16th files with attachment	FILES	<start_date> june 16th </start_date>  files  with <attachment> attachment </attachment>	search_email
view files with workbook attachments sent to amanda	FILES	view  files  with <attachment_type> workbook </attachment_type> <attachment> attachments </attachment> sent to <contact_name_to> amanda </contact_name_to>	search_email
file from idan with attachment	FILES	 file  from <contact_name_from> idan </contact_name_from> with <attachment> attachment </attachment>	search_email
files from jane with attachment last month	FILES	 files  from <contact_name_from> jane </contact_name_from> with <attachment> attachment </attachment> <start_date> last month </start_date>	search_email
find binary mpt in todays files attachments	FILES	find <keyword> binary </keyword> <attachment_type> mpt </attachment_type> in <start_date> todays </start_date>  files  <attachment> attachments </attachment>	search_email
file to john with attachment that i sent today	FILES	 file  to <contact_name_to> john </contact_name_to> with <attachment> attachment </attachment> that <contact_name> i </contact_name> sent <start_date> today </start_date>	search_email
search for all files with mpt attachments	FILES	search for <emailsearch_other> all </emailsearch_other>  files  with <attachment_type> mpt </attachment_type> <attachment> attachments </attachment>	search_email
worksheet attachments in files from january	FILES	<attachment_type> worksheet </attachment_type> <attachment> attachments </attachment> in  files  from <start_date> january </start_date>	search_email
file from rose to jack about ships with attachment	FILES	 file  from <contact_name_from> rose </contact_name_from> to <contact_name_to> jack </contact_name_to> about <keyword> ships </keyword> with <attachment> attachment </attachment>	search_email
campfire song attachments to file for june trip	FILES	<keyword> campfire song </keyword> <attachment> attachments </attachment> to  file  for <keyword> june trip </keyword>	search_email
file form rudy brown with attachment	FILES	 file  form <contact_name_from> rudy brown </contact_name_from> with <attachment> attachment </attachment>	search_email
attachments fom last monday	FILES	<attachment> attachments </attachment> fom <start_date> last monday </start_date>	search_email
files with office attachment	FILES	 files  with <keyword> office </keyword> <attachment> attachment </attachment>	search_email
mpp attachment girls trip	FILES	<attachment_type> mpp </attachment_type> <attachment> attachment </attachment> <keyword> girls trip </keyword>	search_email
could you show me files that have an csv attachment	FILES	could you show me  files  that have an <attachment_type> csv </attachment_type> <attachment> attachment </attachment>	search_email
show me file with attachments	FILES	show me  file  with <attachment> attachments </attachment>	search_email
file with attachment for may fund raiser	FILES	 file  with <attachment> attachment </attachment> for <keyword> may fund raiser </keyword>	search_email
files from anthony with attachment about science	FILES	 files  from <contact_name_from> anthony </contact_name_from> with <attachment> attachment </attachment> about <keyword> science </keyword>	search_email
find attachments in file	FILES	find <attachment> attachments </attachment> in  file 	search_email
look for files from connie with a onenote attachment	FILES	look for  files  from <contact_name_from> connie </contact_name_from> with a <attachment_type> onenote </attachment_type> <attachment> attachment </attachment>	search_email
i want to see any file with attachments	FILES	i want to see any  file  with <attachment> attachments </attachment>	search_email
from lia spec attachment	FILES	from <contact_name_from> lia </contact_name_from> <attachment_type> spec </attachment_type> <attachment> attachment </attachment>	search_email
show me files from jordan with vdw attachments	FILES	show me  files  from <contact_name_from> jordan </contact_name_from> with <attachment_type> vdw </attachment_type> attachments	search_email
file from joe png attachment	FILES	 file  from <contact_name_from> joe </contact_name_from> <attachment_type> png </attachment_type> <attachment> attachment </attachment>	search_email
find research study attachments in files	FILES	find <keyword> research study </keyword> <attachment> attachments </attachment> in  files 	search_email
from john document attachments	FILES	from <contact_name_from> john </contact_name_from> <attachment_type> document </attachment_type> <attachment> attachments </attachment>	search_email
file to jack from jill with attachments dated november 1st	FILES	 file  to <contact_name_to> jack </contact_name_to> from <contact_name_from> jill </contact_name_from> with <attachment> attachments </attachment> dated <start_date> november 1st </start_date>	search_email
find holiday pdf attachments from brad	FILES	find <keyword> holiday </keyword> <attachment_type> pdf </attachment_type> <attachment> attachments </attachment> from <contact_name_from> brad </contact_name_from>	search_email
files to me with an attachment	FILES	 files  to <relationship_name_to> me </relationship_name_to> with an <attachment> attachment </attachment>	search_email
files with doc attachments from february	FILES	 files  with <attachment_type> doc </attachment_type> <attachment> attachments </attachment> from <start_date> february </start_date>	search_email
sundays file with attachment on park sheets	FILES	<start_date> sunday </start_date> s  file  with <attachment> attachment </attachment> on <keyword> park </keyword> <attachment_type> sheets </attachment_type>	search_email
file with surgeon update onenote attachment	FILES	 file  with <keyword> surgeon update </keyword> <attachment_type> onenote </attachment_type> <attachment> attachment </attachment>	search_email
arts and crafts file from july 2019 with attachment	FILES	<keyword> arts and crafts </keyword>  file  from <start_date> july 2019 </start_date> with <attachment> attachment </attachment>	search_email
files sent from xinan xu with attachments	FILES	 files  sent from <contact_name_from> xinan xu </contact_name_from> with <attachment> attachments </attachment>	search_email
sunday files with attachment	FILES	<start_date> sunday </start_date>  files  with <attachment> attachment </attachment>	search_email
attachment png from mingzhu	FILES	<attachment> attachment </attachment> <attachment_type> png </attachment_type> from <contact_name_from> mingzhu </contact_name_from>	search_email
office party files with attachment	FILES	<keyword> office party </keyword>  files  with <attachment> attachment </attachment>	search_email
file from glenn to cherie with attachment from last month	FILES	 file  from <contact_name_from> glenn </contact_name_from> to <contact_name_to> cherie </contact_name_to> with <attachment> attachment </attachment> from <start_date> last month </start_date>	search_email
files with attachments sent from james to monica about girl scouts from november 2019 to december 2019	FILES	 files  with <attachment> attachments </attachment> sent from <contact_name_from> james </contact_name_from> to <contact_name_to> monica </contact_name_to> about <keyword> girl scouts </keyword> from <start_date> november 2019 </start_date> to <end_date> december 2019 </end_date>	search_email
show me file from jordan with decks attachments	FILES	show me  file  from <contact_name_from> jordan </contact_name_from> with <attachment_type> decks </attachment_type> attachments	search_email
files to jack from jill with attachments dated november 1st	FILES	 files  to <contact_name_to> jack </contact_name_to> from <contact_name_from> jill </contact_name_from> with <attachment> attachments </attachment> dated <start_date> november 1st </start_date>	search_email
files from edith to berty about engagement with attachments about food	FILES	 files  from <contact_name_from> edith </contact_name_from> to <contact_name_to> berty </contact_name_to> about <keyword> engagement </keyword> with <attachment> attachments </attachment> about <keyword> food </keyword>	search_email
files containing vsdm attachment	FILES	 files  containing <attachment_type> vsdm </attachment_type> <attachment> attachment </attachment>	search_email
file from roman with attachment about musical	FILES	 file  from <contact_name_from> roman </contact_name_from> with <attachment> attachment </attachment> about <keyword> musical </keyword>	search_email
deck attachments from lia	FILES	<attachment_type> deck </attachment_type> <attachment> attachments </attachment> from <contact_name_from> lia </contact_name_from>	search_email
karas file containing thank you note attachment	FILES	<contact_name> kara </contact_name> s  file  containing <keyword> thank you note </keyword> <attachment> attachment </attachment>	search_email
attachments in file from peter	FILES	<attachment> attachments </attachment> in  file  from <contact_name_from> peter </contact_name_from>	search_email
with attachments this week	FILES	with <attachment> attachments </attachment> <start_date> this week </start_date>	search_email
to john presentations attachments	FILES	to <contact_name_to> john </contact_name_to> <attachment_type> presentations </attachment_type> <attachment> attachments </attachment>	search_email
files from ruth and laura with attachments about dolls	FILES	 files  from <contact_name_from> ruth </contact_name_from> and <contact_name_from> laura </contact_name_from> with <attachment> attachments </attachment> about <keyword> dolls </keyword>	search_email
file with attachments about christmas	FILES	 file  with <attachment> attachments </attachment> about <keyword> christmas </keyword>	search_email
files was from mark with some attachment	FILES	 files  was from <contact_name_from> mark </contact_name_from> with some <attachment> attachment </attachment>	search_email
menu attachment	FILES	<keyword> menu </keyword> <attachment> attachment </attachment>	search_email
search for file with attachments	FILES	search for  file  with <attachment> attachments </attachment>	search_email
show file with onenote attachments from marie	FILES	show  file  with <attachment_type> onenote </attachment_type> <attachment> attachments </attachment> from <contact_name_from> marie </contact_name_from>	search_email
attachments from carla	FILES	<attachment> attachments </attachment> from <contact_name_from> carla </contact_name_from>	search_email
attachment onenote from youngs	FILES	<attachment> attachment </attachment> <attachment_type> onenote </attachment_type> from <contact_name_from> youngs </contact_name_from>	search_email
bank reconciliation attachment to connie	FILES	<keyword> bank reconciliation </keyword> <attachment> attachment </attachment> to <contact_name_to> connie </contact_name_to>	search_email
doc attachment from han zhang	FILES	<attachment_type> doc </attachment_type> <attachment> attachment </attachment> from <contact_name_from> han zhang </contact_name_from>	search_email
ruths file from june with attachments	FILES	<contact_name> ruth </contact_name> s  file  from <start_date> june </start_date> with <attachment> attachments </attachment>	search_email
files with attachment from crisco	FILES	 files  with <attachment> attachment </attachment> from <contact_name_from> crisco </contact_name_from>	search_email
last weeks files that contain attachments from lisa	FILES	<start_date> last week </start_date> s  files  that contain <attachment> attachments </attachment> from <contact_name_from> lisa </contact_name_from>	search_email
file from bishop with attachments from december	FILES	 file  from <contact_name_from> bishop </contact_name_from> with <attachment> attachments </attachment> from <start_date> december </start_date>	search_email
find me an file from barb that included an attachment	FILES	find me an  file  from <contact_name_from> barb </contact_name_from> that included an <attachment> attachment </attachment>	search_email
there is some attachments to this files	FILES	there is some <attachment> attachments </attachment> to this  files 	search_email
attachments from preceding month	FILES	<attachment> attachments </attachment> from <start_date> preceding month </start_date>	search_email
attachments in my files	FILES	<attachment> attachments </attachment> in my  files 	search_email
files with attachments from month of february	FILES	 files  with <attachment> attachments </attachment> from <start_date> month of february </start_date>	search_email
files to lara with attachment	FILES	 files  to <contact_name_to> lara </contact_name_to> with <attachment> attachment </attachment>	search_email
vstm attachment from dad	FILES	<attachment_type> vstm </attachment_type> <attachment> attachment </attachment> from <relationship_name_from> dad </relationship_name_from>	search_email
show me files from files with decks	FILES	show me  files  from  files  with <attachment_type> decks </attachment_type>	search_email
search for files to jim two months ago that had an attachment	FILES	search for  files  to <contact_name_to> jim </contact_name_to> <start_date> two months ago </start_date> that had an <attachment> attachment </attachment>	search_email
files from someone with attachment	FILES	 files  from someone with <attachment> attachment </attachment>	search_email
docx attachment from han zhang	FILES	<attachment_type> docx </attachment_type> <attachment> attachment </attachment> from <contact_name_from> han zhang </contact_name_from>	search_email
find onenote budget review attachment sent to liam jones	FILES	find <attachment_type> onenote </attachment_type> <keyword> budget review </keyword> <attachment> attachment </attachment> sent to <contact_name_to> liam jones </contact_name_to>	search_email
attachments in files from peter	FILES	<attachment> attachments </attachment> in  files  from <contact_name_from> peter </contact_name_from>	search_email
with attachment from ollie	FILES	with <attachment> attachment </attachment> from <contact_name_from> ollie </contact_name_from>	search_email
show me attachment ppts with tim	FILES	show me <attachment> attachment </attachment> <attachment_type> ppts </attachment_type> with <contact_name> tim </contact_name>	search_email
show me file from saku with attachments	FILES	show me  file  from <contact_name_from> saku </contact_name_from> with <attachment> attachments </attachment>	search_email
tracy has attachment	FILES	<contact_name> tracy </contact_name> has <attachment> attachment </attachment>	search_email
files sent from anna on march 18th with attachment	FILES	 files  sent from <contact_name_from> anna </contact_name_from> on <start_date> march 18th </start_date> with <attachment> attachment </attachment>	search_email
file containing attachments	FILES	 file  containing <attachment> attachments </attachment>	search_email
pull up all file that have an attachment	FILES	pull up all  file  that have an <attachment> attachment </attachment>	search_email
contain attachment	FILES	contain <attachment> attachment </attachment>	search_email
attachment in outbox	FILES	<attachment> attachment </attachment> in <destination_folder> outbox </destination_folder>	search_email
docs attachment from january	FILES	<attachment_type> docs </attachment_type> <attachment> attachment </attachment> from <start_date> january </start_date>	search_email
from john msg attachments	FILES	from <contact_name_from> john </contact_name_from> <attachment_type> msg </attachment_type> <attachment> attachments </attachment>	search_email
show me file from sonia with excel attachments	FILES	show me  file  from <contact_name_from> sonia </contact_name_from> with <attachment_type> excel </attachment_type> attachments	search_email
find file with resume attachments	FILES	find  file  with <keyword> resume </keyword> <attachment> attachments </attachment>	search_email
file with attachment from ben in last week	FILES	 file  with <attachment> attachment </attachment> from <contact_name_from> ben </contact_name_from> in <start_date> last week </start_date>	search_email
tax form file with pptx attachment	FILES	<keyword> tax form </keyword>  file  with <attachment_type> pptx </attachment_type> <attachment> attachment </attachment>	search_email
vstx attachment girls trip	FILES	<attachment_type> vstx </attachment_type> <attachment> attachment </attachment> <keyword> girls trip </keyword>	search_email
file from dwight kruger with documents attachments	FILES	 file  from <contact_name_from> dwight kruger </contact_name_from> with <attachment_type> documents </attachment_type> <attachment> attachments </attachment>	search_email
attachment power point from mingzhu	FILES	<attachment> attachment </attachment> <attachment_type> power point </attachment_type> from <contact_name_from> mingzhu </contact_name_from>	search_email
files from juniper to george with attachment from last week	FILES	 files  from <contact_name_from> juniper </contact_name_from> to <contact_name_to> george </contact_name_to> with <attachment> attachment </attachment> from <start_date> last week </start_date>	search_email
file received in february with an attachment	FILES	 file  received in <start_date> february </start_date> with an <attachment> attachment </attachment>	search_email
from liza attachment onenote	FILES	from <contact_name_from> liza </contact_name_from> <attachment> attachment </attachment> <attachment_type> onenote </attachment_type>	search_email
attachment with vcs	FILES	<attachment> attachment </attachment> with <attachment_type> vcs </attachment_type>	search_email
attachment in an files	FILES	<attachment> attachment </attachment> in an  files 	search_email
files from last year with attachment from cindy	FILES	 files  from <start_date> last year </start_date> with <attachment> attachment </attachment> from <contact_name_from> cindy </contact_name_from>	search_email
files with attachment from last june	FILES	 files  with <attachment> attachment </attachment> from <start_date> last june </start_date>	search_email
file with attachment on basketball	FILES	 file  with <attachment> attachment </attachment> on <keyword> basketball </keyword>	search_email
file from penny with dog vcs attachment from december	FILES	 file  from <contact_name_from> penny </contact_name_from> with <keyword> dog </keyword> <attachment_type> vcs </attachment_type> <attachment> attachment </attachment> from <start_date> december </start_date>	search_email
sundays file with attachment on park onenotes	FILES	<start_date> sunday </start_date> s  file  with <attachment> attachment </attachment> on <keyword> park </keyword> <attachment_type> onenotes </attachment_type>	search_email
files containing new edition blueprint attachment sent from jed	FILES	 files  containing <keyword> new edition blueprint </keyword> <attachment> attachment </attachment> sent from <contact_name_from> jed </contact_name_from>	search_email
file with attachment on scheduling	FILES	 file  with <attachment> attachment </attachment> on <keyword> scheduling </keyword>	search_email
search for files from thomas with an attachment	FILES	search for  files  from <contact_name_from> thomas </contact_name_from> with an <attachment> attachment </attachment>	search_email
photography club files with attachments sent from ben to ruth	FILES	<keyword> photography club </keyword>  files  with <attachment> attachments </attachment> sent from <contact_name_from> ben </contact_name_from> to <contact_name_to> ruth </contact_name_to>	search_email
files sent between july 2015 and june 2016 from mary to edith with attachments about mr pamuke	FILES	 files  sent between <start_date> july 2015 </start_date> and <end_date> june 2016 </end_date> from <contact_name_from> mary </contact_name_from> to <contact_name_to> edith </contact_name_to> with <attachment> attachments </attachment> about <keyword> mr pamuke </keyword>	search_email
view files with words attachments sent to amanda	FILES	view  files  with <attachment_type> words </attachment_type> <attachment> attachments </attachment> sent to <contact_name_to> amanda </contact_name_to>	search_email
recent file with attachments	FILES	<order_ref> recent </order_ref>  file  with <attachment> attachments </attachment>	search_email
show me file from malik with attachments	FILES	show me  file  from <contact_name_from> malik </contact_name_from> with <attachment> attachments </attachment>	search_email
look for file received from connor with a presentation attachment	FILES	look for  file  received from <contact_name_from> connor </contact_name_from> with a <attachment_type> presentation </attachment_type> <attachment> attachment </attachment>	search_email
sending some attachment from last night program	FILES	sending some <attachment> attachment </attachment> from <start_time> last night </start_time> <keyword> program </keyword>	search_email
files from ana with attachments	FILES	 files  from <contact_name_from> ana </contact_name_from> with <attachment> attachments </attachment>	search_email
files me information of birthday celebrate with some attachment	FILES	 files  me <keyword> information of birthday celebrate </keyword> with some <attachment> attachment </attachment>	search_email
files from anthony with attachment from september	FILES	 files  from <contact_name_from> anthony </contact_name_from> with <attachment> attachment </attachment> from <start_date> september </start_date>	search_email
to jim attachment presentationn	FILES	to <contact_name_to> jim </contact_name_to> <attachment> attachment </attachment> <keyword> presentationn </keyword>	search_email
attachments opened with received files	FILES	<attachment> attachments </attachment> opened with received  files 	search_email
files from joe pdf attachment	FILES	 files  from <contact_name_from> joe </contact_name_from> <attachment_type> pdf </attachment_type> <attachment> attachment </attachment>	search_email
tax form file with msg attachment	FILES	<keyword> tax form </keyword>  file  with <attachment_type> msg </attachment_type> <attachment> attachment </attachment>	search_email
files that has vdw attachments	FILES	 files  that has <attachment_type> vdw </attachment_type> <attachment> attachments </attachment>	search_email
files from greg to ellen with attachment about tigers	FILES	 files  from <contact_name_from> greg </contact_name_from> to <contact_name_to> ellen </contact_name_to> with <attachment> attachment </attachment> about <keyword> tigers </keyword>	search_email
look for messages with workbook attachments	FILES	look for messages with <attachment_type> workbook </attachment_type> <attachment> attachments </attachment>	search_email
office party file with attachment	FILES	<keyword> office party </keyword>  file  with <attachment> attachment </attachment>	search_email
file from jon hamaker with vssx attachments	FILES	 file  from <contact_name_from> jon hamaker </contact_name_from> with <attachment_type> vssx </attachment_type> <attachment> attachments </attachment>	search_email
mias files with tsv attachments	FILES	<contact_name> mia </contact_name> s  files  with <attachment_type> tsv </attachment_type> <attachment> attachments </attachment>	search_email
file received containing attachment	FILES	 file  received containing <attachment> attachment </attachment>	search_email
file with attachment between october and december	FILES	 file  with <attachment> attachment </attachment> between <start_date> october </start_date> and <end_date> december </end_date>	search_email
vsdx attachment from dad	FILES	<attachment_type> vsdx </attachment_type> <attachment> attachment </attachment> from <relationship_name_from> dad </relationship_name_from>	search_email
file with slide attachments	FILES	 file  with <attachment_type> slide </attachment_type> <attachment> attachments </attachment>	search_email
files with attachments from february 4th to may 6th about movies	FILES	 files  with <attachment> attachments </attachment> from <start_date> february 4th </start_date> to <end_date> may 6th </end_date> about <keyword> movies </keyword>	search_email
find msg budget review attachment sent to liam jones	FILES	find <attachment_type> msg </attachment_type> <keyword> budget review </keyword> <attachment> attachment </attachment> sent to <contact_name_to> liam jones </contact_name_to>	search_email
files from lizzie to sally re resignation with spreadsheets attachment	FILES	 files  from <contact_name_from> lizzie </contact_name_from> to <contact_name_to> sally </contact_name_to> re <keyword> resignation </keyword> with <attachment_type> spreadsheets </attachment_type> <attachment> attachment </attachment>	search_email
file from malik with attachments last week	FILES	 file  from <contact_name_from> malik </contact_name_from> with <attachment> attachments </attachment> <start_date> last week </start_date>	search_email
file from robert to cora re chamberlain visit with vcs attachments july 2015 to august 2015	FILES	 file  from <contact_name_from> robert </contact_name_from> to <contact_name_to> cora </contact_name_to> re <keyword> chamberlain visit </keyword> with <attachment_type> vcs </attachment_type> <attachment> attachments </attachment> <start_date> july 2015 </start_date> to <end_date> august 2015 </end_date>	search_email
excels attachment	FILES	<attachment_type> excels </attachment_type> <attachment> attachment </attachment>	search_email
files from john with tsv attachments	FILES	 files  from <contact_name_from> john </contact_name_from> with <attachment_type> tsv </attachment_type> <attachment> attachments </attachment>	search_email
find excel budget review attachment sent to liam jones	FILES	find <attachment_type> excel </attachment_type> <keyword> budget review </keyword> <attachment> attachment </attachment> sent to <contact_name_to> liam jones </contact_name_to>	search_email
files from quinn to jen with attachment	FILES	 files  from <contact_name_from> quinn </contact_name_from> to <contact_name_to> jen </contact_name_to> with <attachment> attachment </attachment>	search_email
file from ufcu with attachment mortgage statement	FILES	 file  from <contact_name_from> ufcu </contact_name_from> with <attachment> attachment </attachment> <keyword> mortgage statement </keyword>	search_email
powerpoints was included on attachment	FILES	<attachment_type> powerpoints </attachment_type> was included on <attachment> attachment </attachment>	search_email
show me attachment pdfs with tim	FILES	show me <attachment> attachment </attachment> <attachment_type> pdfs </attachment_type> with <contact_name> tim </contact_name>	search_email
open up files from bob with attachment	FILES	open up  files  from <contact_name_from> bob </contact_name_from> with <attachment> attachment </attachment>	search_email
