MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	ConversationContext	Cat
Call Sharon yeah chinnusamy.	COMMUNICATION	make_call	Call <contact_name>Sharon</contact_name> yeah chinnusamy.	{'UserFileNames': ['Assistant', 'Running Experiments', 'SERP Grid and Layout', '1756857 - Query suggestions', 'Meeting Notes', 'Local Experience', 'External dll contact points', 'Cortana in Teams R2 Weekly Shiproom', 'Overview_AzureCompliance_Tracker_Current', 'Enterprise Data Taxonomy (Asset Classification Standard)', 'MSAI Universal Search and Recommendations', 'MicrosoftSearch-UniversalAPI', 'Release Notes', 'Reducing Kusto Logging COGS', 'Substrate Perf Shiproom - 2020-1-29', 'CLP V-Team Status', 'Search and Assistant in Outlook Mobile - Quarterly Plan Checkpoint - October 30th', 'QQR CY19Q4', 'FY21 Substrate Budget Planning', 'MSAI - CSI Work List'], 'UserFileNameKeyPhrases': ['shiproom', 'cortana in teams', 'cortana teams', 'msai', 'deprecation', 'perf', 'om focused shiproom', 'cortana on windows', 'focused shiproom', 'cortana windows', 'voice skills', 'om shiproom', 'om focused', 'search 3s', '3s', 'uwp', 'skills test', 'focused', 'assistant resourcing map', 'search instrumentation']}	NegativeCrossDomainNoMatch
Add Lu to the call.	COMMUNICATION	add_to_call	Add <contact_name>Lu</contact_name> to the call.	{'UserFileNames': ['Signed_Tax_InvoiceReceipt_No_151367', 'ComplianceAuth_onebox_Err', 'Book1', 'MM Team Shiproom New Format', 'M365 Search - 3S Instrumentation - Client Contracts', '[Walid] Mails processing, Substrate and TEE', 'Microsoft Search User Job Framework', 'Azure Monitor CEN', 'Smart Suggestions in Teams - Jan 2020', '01-30-2020 Knowledge Bot - Full', 'Voice Skills BVT - basic test cases', 'GRC Review Office Hours Sign-Up Sheet', 'Exchange Service Overview', 'OneBranch', 'Lift Pres - January 20 - Tel Aviv Edition', 'SubstrateAuthInPictures', 'Communication and Collaboration - Post Wave 1', 'Results draft (1)', 'Results draft', "Agile Testings Brownbag -Presentation To Ori's Team"], 'UserFileNameKeyPhrases': ['cortana teams', 'voice', 'shiproom', 'fy20', 'cortana in teams', 'outlook mobile', 'voice skills', 'test cases', 'skill', 'image', 'suggestions', 'skills test', 'assistant user relationship', 'cortana alignment teams', 'assistant relationship', 'voice outlook mobile', 'cortana alignment om', 'voice skills manual', 'running experiments', 'alignment om teams']}	NegativeCrossDomainNoMatch
Tell tomorrow's meeting that I am running late.	COMMUNICATION	send_text_meeting	Tell <time>tomorrow</time>&apos;s meeting that <message>I am running late</message>.	{'UserFileNames': ['DeepLearning', 'Name-Resolution-UX-Improvements', 'Transit', 'FY21 Substrate Budget Planning', 'IcM PowerBI Base Query', 'Assistant Roadmap Sync', 'Feedback Working Session Document', 'Deprecation Proposal - January 2020 - LT Review', 'Flighting in compliance -Phase1', 'Android Core skills+Extras', 'SM FY20 preview scenarios', 'ממן3', 'DRI', 'Cortana Deprecations Tracker', 'Cortana in Teams R2 Weekly Shiproom', 'Cortana UWP app - skill readiness', 'M365 Search - 3S Instrumentation - Client Contracts', 'Deprecation Deck v2', 'Cortana Platform Weekly Shiproom 3Feb2020', 'S+A Test Suite'], 'UserFileNameKeyPhrases': ['test cases', 'test cases report', 'testcasesreport', 'set up cortana', 'cortana teams', 'cases report', 'set cortana', 'msai', 'cases', 'ios', 'commute', 'os', 'core skills extras', 'skills and extras', 'extras and skills', 'ios commute pass', 'os commute pass', 'core and extras', 'skills extras', 'commute pass']}	NegativeCrossDomainNoMatch
Call Adam Miller.	COMMUNICATION	make_call	Call <contact_name>Adam Miller</contact_name>.	{'UserFileNames': ['iOS Core Skills + Extras', 'iOS Commute Pass Gmail', 'Android Core skills+Extras', 'Cortana in Teams R2 Weekly Shiproom', 'Running Feature Rollouts', 'MSAI - CSI Work List', 'Vendor Allocation', 'MSA and AAD Report', 'ICE Services Weekly Review', 'Sample App Testing', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'DRI NoteBook', 'Skills Teams LT review 12-04-19', 'Feedback OKRs', 'DRI', 'iOS Commute Outlook Pass', 'Kingston_Core Skills_Testing', 'Kingston-Device 2-BVT', 'Bugs on Kingston', 'FY20 Q3 At a Glance - Keypoints'], 'UserFileNameKeyPhrases': ['shiproom', 'fy20', 'ai', 'mobile search', 'ai proposal', 'msai', '3s', 'platform', 'residency project proposal', 'cortana platform shiproom', 'platform weekly shiproom', 'cortana platform weekly', 'cortana weekly shiproom', 'search instrumentation', 'ai residency proposal', 'ai residency project', 'ai project proposal', 'weekly shiproom feb', 'teams mobile search', 'residency proposal']}	NegativeCrossDomainNoMatch
Call Michael.	COMMUNICATION	make_call	Call <contact_name>Michael</contact_name>.	{'UserFileNames': ['Monthly Suzhou team report', 'Cortana UWP app - skill readiness', 'Enteprise QF', 'XAP', 'MSAI Universal Search and Recommendations', 'M365 Search - 3S Instrumentation - Client Contracts', 'Metrics + Signals + Data - FY20 Q3 OKRs', 'GroupsvNextShipRoom_20200130', 'Email Triage Science Update 2020.01.30', 'Substrate Groups Provisioning Latency Reduction', 'Analysis and Data', 'Universal Search + Assistant - FY20 Q3 Backlog', 'S+A OM focused Shiproom 01282020', 'Greenland 2.1 L1 DocData Features', 'Consumer Group', 'Cortana on Windows Vibranium International Plan', 'Group schedule', 'Assistant Roadmap Sync', 'Cortana Deprecations Tracker', 'People Compose - Metrics & Instrumentation'], 'UserFileNameKeyPhrases': ['test cases', 'test cases report', 'testcasesreport', 'cases report', 'msai', 'cases', 'set up cortana', 'set cortana', 'ios', 'commute', 'os', 'core skills extras', 'extras and skills', 'skills and extras', 'ios commute pass', 'core and extras', 'os commute pass', 'skills extras', 'voice skills', 'commute pass']}	NegativeCrossDomainNoMatch
Send message to Zhiqiang.	COMMUNICATION	send_text	Send message to <contact_name>Zhiqiang</contact_name>.	{'UserFileNames': ['Compliant AI in M365 - Rajesh Review - 01-24-2020', 'Meeting Notes', 'AI 365 30 January 2020', 'Core Relevance Ship Room[Current]', 'Windows On Call Rotation Current Year', '01-30-2020 Knowledge Bot - Full', 'Weekly Whole Page and Answers Ship Meeting', 'QF Weekly Flight Review - Current', 'Release Notes', 'SNR Bootcamp - 29-October-2017', 'Highlights extraction from meeting transcript - Jan 2020', 'New Section 2 2', 'New Section 1 2', 'D365OKRs', 'SubstrateAuthInPictures', 'Web relevance shiproom', '2019-11 MSAI IL Research - Task Modeling Overview with Nitin', 'SubstrateSearchService', 'IC3 Playbook', 'Overview_AzureCompliance_Tracker_Current'], 'UserFileNameKeyPhrases': ['azure arm management', 'azure management', 'arm management', 'azure arm', 'arm', 'azure management ports', 'arm management ports', 'management ports', 'azure arm ports', 'azure ports', 'arm ports', 'ports', '0f2b 4f86 c77cb364b254', '0f2b 818c c77cb364b254', '4f86 818c c77cb364b254', 'c77cb364b254 2020', '818c c77cb364b254', '0f2b c77cb364b254', '4f86 c77cb364b254', '818c 77cb 364b']}	NegativeCrossDomainNoMatch
Call Denise.	COMMUNICATION	make_call	Call <contact_name>Denise</contact_name>.	{'UserFileNames': ['Welcome', 'Team', 'Cortana in Teams R2 Weekly Shiproom', 'Cortana UWP app - skill readiness', 'Data Handling Standards', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'ComplianceAuth_onebox_Err', 'Action Item UXR', 'Cortana Israel - Requests and Scheduling Intent- Shiproom', 'יום צילום 2', 'Quick Notes', '20H1 Manganese SAP OKRs - DRAFT', 'Overview_AzureCompliance_Tracker_Current', 'Quarterly Quality Review', '202001_WorkingSession_RoleOfAIInEffectiveMeetings', 'Extended logging support for MSFT employees', 'TAAlignment', 'SWSS Partners', 'FY20 Annotation Asks', '3S Signal Enrichment'], 'UserFileNameKeyPhrases': ['shiproom', 'msai', 'fy20', 'perf', 'om focused shiproom', 'focused shiproom', 'om shiproom', 'om focused', 'substrate', 'focused', 'omc', 'substrate perf shiproom', 'search instrumentation', 'substrate shiproom', 'substrate perf', 'perf shiproom', 'fy20 q3', 'feedback', 'emails', 'instrumentation']}	NegativeCrossDomainNoMatch
Send message to my tyrannical topographic telescope meeting that it is sunny.	COMMUNICATION	send_text_meeting	Send message to my <meeting_title>tyrannical topographic telescope</meeting_title> meeting that <message>it is sunny</message>.	{'UserFileNames': ['STCI MSAI Shiproom - Current', 'Metrics', 'Cortana in Teams R2 Weekly Shiproom', 'Teams Mobile Search Spec - Answers V2', 'Discoverability Index - Site Pages - Sentiment', 'Cortana Deprecation and Transition proposal - Feb 2020 - LT Review', 'S+A H2 Planning', 'Extended logging support for MSFT employees', 'Cortana transition announcement - DRAFT', 'Team Mobile Search - 3S dependency list', 'Cortana_Assistance_RajeshMPR_Jan2020_Deck', 'Cortana UWP app - skill readiness', 'MSAI Cognition H2 OKRs', 'Cortana on Windows Vibranium International Plan', 'Voice Skills BVT Manual Test Cases (Core)', 'SM FY20 preview scenarios', 'Hx Partner Asks', 'Augmentation Loop Walking Deck', 'M365 Search - 3S Instrumentation - Client Contracts', 'S+A OM focused Shiproom 02042020'], 'UserFileNameKeyPhrases': ['test cases', 'test cases report', 'testcasesreport', 'cases report', 'msai', 'cases', 'set up cortana', 'set cortana', 'ios', 'commute', 'os', 'core skills', 'core skills extras', 'skills and extras', 'extras and skills', 'ios commute pass', 'core and extras', 'os commute pass', 'skills extras', 'commute pass']}	NegativeCrossDomainNoMatch
Send a message to Priyanka.	COMMUNICATION	send_text	Send a message to <contact_name>Priyanka</contact_name>.	{'UserFileNames': ['Compliant AI in M365 - Rajesh Review - 01-24-2020', 'Meeting Notes', 'AI 365 30 January 2020', 'Core Relevance Ship Room[Current]', 'Windows On Call Rotation Current Year', '01-30-2020 Knowledge Bot - Full', 'Weekly Whole Page and Answers Ship Meeting', 'QF Weekly Flight Review - Current', 'Release Notes', 'SNR Bootcamp - 29-October-2017', 'Highlights extraction from meeting transcript - Jan 2020', 'New Section 2 2', 'New Section 1 2', 'D365OKRs', 'SubstrateAuthInPictures', 'Web relevance shiproom', '2019-11 MSAI IL Research - Task Modeling Overview with Nitin', 'SubstrateSearchService', 'IC3 Playbook', 'Overview_AzureCompliance_Tracker_Current'], 'UserFileNameKeyPhrases': ['azure arm management', 'azure management', 'arm management', 'azure arm', 'arm', 'azure management ports', 'arm management ports', 'management ports', 'azure arm ports', 'azure ports', 'arm ports', 'ports', 'vst', 'cortana in teams', 'cortana teams', 'voice', '3c', 'speclet kingston', 'voice skills', '706bf 8b 2']}	NegativeCrossDomainNoMatch
Transfer call to Johns teams address.	COMMUNICATION	transfer	Transfer call to <contact_name>Johns</contact_name> <destination_platform>teams</destination_platform> address.	{'UserFileNames': ['Sustained Engineering Newsletter 2-3', 'Common', 'AI+R Scorecard', 'Meeting Notes', 'Analyzing Experiments - Advanced', 'Team Mobile Search - 3S dependency list', 'MicrosoftSearch-UniversalAPI', 'SE-Shiproom', 'Metrics', 'Untitled Section', 'Microsoft Teams Customer Pitch Deck', 'Private build', 'Ramp-up', '[Migrated] Analyzing Experiments', '[Dev spec]Teams Mobile Search Baseline Instrumentation', 'Voice Skills BVT - basic test cases', '[PM spec]Teams Mobile Search Instrumentation', 'Sustained Engineering Newsletter 12-9', 'Welcome', '后端接口分配'], 'UserFileNameKeyPhrases': ['core skills', 'kingston core skills', 'core skills testing', 'kingston skills', 'set up cortana', 'kingston core', 'core testing', 'set cortana', 'commute', 'skills testing', 'ios', 'kingston device skills', 'device skills testing', 'kingston device core', 'device core testing', 'device core skills', 'ios commute pass', 'kingston device', 'os commute pass', 'device skills']}	NegativeCrossDomainNoMatch
Add Isaac respond to the call.	COMMUNICATION	add_to_call	Add <contact_name>Isaac respond</contact_name> to the call.	{'UserFileNames': ['Voice skills in Teams Funnel', 'General', 'Outlook Commute Working Session 2020_02_06', 'Welcome', 'Assistant Roadmap Sync', 'Analysis and Data', 'Running Experiments - Advanced', 'People Also Ask', 'Voice Skills Discoverability in Teams - Jan 2020', 'Outlook Research - Smart Compose Quick Pulse - March 2019', 'LUFY20WorkingSession', 'Metrics + Signals + Data - FY20 Q3 OKRs', 'Cortana on Windows - Scorecard draft', 'AI in M365 for MSAI Customer Deck', 'Speech IPR Report', 'Teams_Cortana discoverability text for mobile', 'Cortana on Windows Vibranium International Plan', 'M365 Search - 3S Instrumentation - Client Contracts', 'Bing Answers test cases', 'GRC Review Office Hours Sign-Up Sheet'], 'UserFileNameKeyPhrases': ['core skills', 'kingston core skills', 'core skills testing', 'kingston device', 'kingston skills', 'set up cortana', 'kingston core', 'core testing', 'set cortana', 'commute', 'skills testing', 'ios', 'kingston device skills', 'device skills testing', 'kingston device core', 'device core testing', 'device core skills', 'ios commute pass', 'os commute pass', 'device skills']}	NegativeCrossDomainNoMatch
Add Tom Cruise to the call.	COMMUNICATION	add_to_call	Add <contact_name>Tom Cruise</contact_name> to the call.	{'UserFileNames': ['Cortana UWP app - skill readiness', '01-30-2020 Knowledge Bot - Full', 'Deprecation plan - Cortana Mobile Apps', 'Deprecation Proposal - January 2020 - LT Review', 'Cortana on Windows Vibranium International Plan', 'GDPR Service Solution for Cortana', 'Hx Partner Asks', 'S+A H2 Planning', 'Cortana transition announcement - DRAFT', 'Cortana in Teams R2 Weekly Shiproom', 'S+A Assistant Resourcing Map', 'Augmentation Loop Walking Deck', 'S+A OM focused Shiproom 01282020', 'Search and Assistant in Outlook Mobile - Quarterly Plan Checkpoint - January 29th', 'BillingWorker', 'Deprecation Deck v2', 'IcM PowerBI Base Query', 'UWP Skill roundup - Privacy Security Compliance tracking', 'SM FY20 _ full context', 'Assistant Roadmap Sync'], 'UserFileNameKeyPhrases': ['msai', 'הצטרפות מייקרוסופט ישראל', 'מייקרוסופט ישראל הצהרת', 'הצטרפות מייקרוסופט ללא', 'מייקרוסופט ללא הצהרת', 'מייקרוסופט ישראל ללא', 'ט הצטרפות מייקרוסופט', 'directors update 11', 'allocation and asks', 'allocation new asks', 'ט מייקרוסופט ישראל', 'הצטרפות מייקרוסופט', 'ישראל הצהרת בריאות', 'הצטרפות ישראל ללא', 'מייקרוסופט ישראל', 'מייקרוסופט הצהרת', 'ישראל ללא בריאות', 'ללא הצהרת בריאות', 'ישראל ללא הצהרת', 'ט הצטרפות ישראל']}	NegativeCrossDomainNoMatch
Message John that I am running late.	COMMUNICATION	send_text	Message <contact_name>John</contact_name> that <message>I am running late</message>.	{'UserFileNames': ['Search', 'Cortana in Teams R2 Weekly Shiproom', 'Substrate Perf Shiproom - 2020-1-29', 'Deprecation Deck v2', 'Microsoft Search User Job Framework', 'OneNote_DeletedPages', 'Principal Briefing FINAL Posted Jan 23 2020', 'Running Experiments', 'Cortana transition announcement - DRAFT', 'Endpoints Table', '[Migrated] Analyzing Experiments', 'Scrum', 'Release Notes', 'OMC Perf doc', 'Notification Activation Protocol', 'Day in a life - Outlook Cortana Dec 17', 'Analyzing Experiments - Advanced', 'M365 Search - 3S Instrumentation - Client Contracts', 'Dogfooding Users-modified', '3S Powered OM Search and Instrumentation'], 'UserFileNameKeyPhrases': ['shiproom', 'voice skills', 'cortana teams', 'okrs', 'msai', 'substrate', 'voice', 'fy20', 'cortana in teams', 'smart in teams', 'smart teams', 'smart reply', 'shiproom 1', 'fy20 okrs', 'weekly', 'skills test', 'israel', 'extraction meeting transcript', 'highlights extraction meeting', 'extraction from transcript']}	NegativeCrossDomainNoMatch
Text everyone on upcoming meeting.	COMMUNICATION	send_text_meeting	Text everyone on <order_ref>upcoming</order_ref> meeting.	{'UserFileNames': ['Smart Reply Android R1 Release', 'Assistant', 'Monthly Suzhou team report', 'Cortana in Teams R2 Weekly Shiproom', 'UAP', 'Dogfooding Users-modified', 'Design Revision', 'Kingston-WorkingDeck', 'Model Self-Serve', 'Cortana in Teams R2 Weekly Shiproom 2-5', 'MSAI STCA FY20 Kickoff', 'New hire', 'Extended logging support for MSFT employees', 'Events', 'Team Mobile Search - 3S dependency list', 'VST Funnel', 'Voice Skills BVT Manual Test Cases (Core)', 'M365 Search - 3S Instrumentation - Client Contracts', 'bi_telemetry_mobile', 'Device Control Toggle Feedback Speclet - Kingston'], 'UserFileNameKeyPhrases': ['test cases', 'ios', 'commute', 'test cases report', 'testcasesreport', 'set up cortana', 'cases report', 'set cortana', 'os', 'cases', 'core skills extras', 'extras and skills', 'cases report week', 'skills and extras', 'test report week', 'ios commute pass', 'test cases week', 'core and extras', 'os commute pass', 'cortana teams']}	NegativeCrossDomainNoMatch
Hey Cortana message Rose that I am running late.	COMMUNICATION	send_text	Hey Cortana message <contact_name>Rose</contact_name> that <message>I am running late</message>.	{'UserFileNames': ['AI 365 30 January 2020', 'Multiple Range Queries Support in MDM', 'Embedded Intelligence Checkpoint (Jan 2020)', 'M365 Search - 3S Instrumentation - Client Contracts', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'Kingston-WorkingDeck', 'REST Shiproom - Impacting Issues', 'FY21 Substrate Budget Planning', 'GRC Review Office Hours Sign-Up Sheet', '01-30-2020 Knowledge Bot - Full', 'Automatic Meeting Agenda (and Notes) Generation', '201907_OutlookMeetingIntelligenceUpdate', 'Lift Pres - January 20 - Tel Aviv Edition', 'Cortana UWP app - skill readiness', 'Manganese-Search', 'D365OKRs', 'cortana high level design', '202001_MeetingIntelligenge_Overview', 'Outlook Mobile SERP Migration', 'MLADS2019Link'], 'UserFileNameKeyPhrases': ['shiproom', 'cortana in teams', 'cortana teams', 'msai', 'cortana on windows', 'cortana windows', 'deprecation', 'perf', 'om focused shiproom', 'focused shiproom', 'voice skills', 'om shiproom', 'om focused', 'fy20', 'voice', '3s', 'focused', 'deprecation plan cortana', 'search instrumentation', 'teams working session']}	NegativeCrossDomainNoMatch
Send message to the next meeting that this is test.	COMMUNICATION	send_text_meeting	Send message to the <order_ref>next</order_ref> meeting that <message>this is test</message>.	{'UserFileNames': ['Running Experiments', 'Specs+Designs', 'Greenland Monthly Schedule Update - Jan 2020', 'Manganese-Search', 'MSAI - CSI Work List', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'Controllers and Processors Analysis Guide - FINAL', 'Calendar Quarterly OKR & Check Point FY20Q2', '01-23-2020 Media Control Skills - Full', 'Lift Pres - January 20 - Tel Aviv Edition', 'Relevance', 'D365OKRs', 'Query Alteration Response API V2', 'Quarterly Quality Review', 'Analysis and Data', 'CV Avi Epstein', '6to5', '4to3', '5to4', '2to1'], 'UserFileNameKeyPhrases': ['core skills', 'kingston core skills', 'core skills testing', 'kingston skills', 'kingston device', 'set up cortana', 'kingston core', 'core testing', 'set cortana', 'commute', 'test cases', 'skills testing', 'ios', 'kingston device skills', 'device skills testing', 'kingston device core', 'device core testing', 'device core skills', 'ios commute pass', 'os commute pass']}	NegativeCrossDomainNoMatch
Send a message to yesterday's meeting.	COMMUNICATION	send_text_meeting	Send a message to <time>yesterday</time>&apos;s meeting.	{'UserFileNames': ['DRI', 'iOS Core Skills + Extras', 'iOS Commute Pass - Weekly', 'Kingston-Device 2-BVT', 'Android Core skills+Extras', 'ICE Services Weekly Review', 'Yubikey requests', 'Feedback OKRs', 'Running Feature Rollouts', 'MSAI - CSI Work List', 'Bugs on Kingston', 'DRI NoteBook', 'Vendor Allocation', 'MSA and AAD Report', 'M365 Search - 3S Instrumentation - Client Contracts', 'MSA and AAD Report1', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'Show top customer DSATs on 3SDash', 'Feedback Working Session Document', 'iOS Commute Pass'], 'UserFileNameKeyPhrases': ['msai', 'הצטרפות מייקרוסופט ישראל', 'מייקרוסופט ישראל הצהרת', 'הצטרפות מייקרוסופט ללא', 'מייקרוסופט ללא הצהרת', 'מייקרוסופט ישראל ללא', 'ט הצטרפות מייקרוסופט', 'directors update 11', 'allocation and asks', 'allocation new asks', 'ט מייקרוסופט ישראל', 'הצטרפות מייקרוסופט', 'ישראל הצהרת בריאות', 'הצטרפות ישראל ללא', 'מייקרוסופט ישראל', 'מייקרוסופט הצהרת', 'ישראל ללא בריאות', 'ללא הצהרת בריאות', 'ישראל ללא הצהרת', 'ט הצטרפות ישראל']}	NegativeCrossDomainNoMatch
Add 425-589-3031 to my call.	COMMUNICATION	add_to_call	Add <phone_number>425-589-3031</phone_number> to my call.	{'UserFileNames': ['Extended logging support for MSFT employees', 'Dogfooding Users-modified', 'Cortana in Teams R2 Weekly Shiproom', 'Voice Skills BVT Manual Test Cases (Core)', 'M365 Search - 3S Instrumentation - Client Contracts', 'Monthly Suzhou team report', 'bi_telemetry_mobile', 'Kingston-WorkingDeck', 'New hire', 'Model Self-Serve', 'Device Control Toggle Feedback Speclet - Kingston', '[Dev spec]Teams Mobile Search Baseline Instrumentation', 'VST Funnel', 'Voice Skills BVT - basic test cases', 'Drive Completion Rate for GA', 'Kingston', '[PM spec]Teams Mobile Search Instrumentation', 'Dictation - Kingston', 'Performance and Scenario Markers - Kingston', 'Design Revision'], 'UserFileNameKeyPhrases': ['azure arm management', 'azure management', 'arm management', 'azure arm', 'arm', 'azure management ports', 'arm management ports', 'management ports', 'azure arm ports', 'azure ports', 'arm ports', 'ports', 'vst', 'cortana teams', '706bf 8b 2', '8b 2', '3c', 'voice', 'azurearmmanagementports062c3243 3c1a 4647', 'azurearmmanagementports062c3243 4647 a71f']}	NegativeCrossDomainNoMatch
Message my meeting that.	COMMUNICATION	send_text_meeting	Message my meeting that.	{'UserFileNames': ['Sustained Engineering Newsletter 2-3', 'Common', 'AI+R Scorecard', 'Meeting Notes', 'Analyzing Experiments - Advanced', 'Team Mobile Search - 3S dependency list', 'MicrosoftSearch-UniversalAPI', 'SE-Shiproom', 'Metrics', 'Untitled Section', 'Microsoft Teams Customer Pitch Deck', 'Private build', 'Ramp-up', '[Migrated] Analyzing Experiments', '[Dev spec]Teams Mobile Search Baseline Instrumentation', 'Voice Skills BVT - basic test cases', '[PM spec]Teams Mobile Search Instrumentation', 'Sustained Engineering Newsletter 12-9', 'Welcome', '后端接口分配'], 'UserFileNameKeyPhrases': ['shiproom', 'fy20', 'voice skills', 'cortana in teams', 'cortana teams', 'msai', 'voice', 'working session', 'om focused shiproom', 'focused shiproom', 'om shiproom', 'om focused', 'okrs', 'review jan', 'q3', 'bot', 'skills test', 'focused', 'fy20 assistant platform', 'assistant platform okr']}	NegativeCrossDomainNoMatch
Send a message to Chris Basoglu that the service latency has improved by 250 milliseconds.	COMMUNICATION	send_text	Send a message to <contact_name>Chris Basoglu</contact_name> that <message>the service latency has improved by 250 milliseconds</message>.	{'UserFileNames': ['Cortana in Teams R2 Weekly Shiproom', 'Mobile Clients_DefaultNotes', 'Rooms and Devices - Engineering', 'Skills Teams LT review 02-12-20', 'Metrics', 'Substrate Partner Discussion with Teams_02_10_2020', 'SfB Interop Monitoring', '202001_WorkingSession_RoleOfAIInEffectiveMeetings', 'Search_backlog', 'Mobile Clients - Release Tracking', 'invoice-ICHJMAWG-03-2020-0000168', 'invoice-QKZIEWSS-03-2020-0000252', 'Analyzing Experiments - Advanced', 'Extended logging support for MSFT employees', 'Team Mobile Search - 3S dependency list', 'Substrate Partner Discussion with Teams_11_11_2019', 'Voice Skills BVT Manual Test Cases (Core)', 'S+A OM focused Shiproom 02042020', 'Publish to store for Msft developers', 'Resiliency-ScoreCard-Details-Current'], 'UserFileNameKeyPhrases': ['core skills', 'kingston core skills', 'core skills testing', 'kingston skills', 'set up cortana', 'kingston core', 'core testing', 'set cortana', 'commute', 'skills testing', 'ios', 'kingston device skills', 'device skills testing', 'kingston device core', 'device core testing', 'device core skills', 'ios commute pass', 'os commute pass', 'kingston device', 'device skills']}	NegativeCrossDomainNoMatch
Add 917-318-8122 to my call.	COMMUNICATION	add_to_call	Add <phone_number>917-318-8122</phone_number> to my call.	{'UserFileNames': ['Kingston_Core Skills_Testing', 'TaskExtractiononTeams', 'Universal Search + Assistant - FY20 Q3 Backlog', 'iOS Core Skills + Extras', 'XAP', 'iOS Commute Pass Gmail', 'DRI', '02-06-2020 Calendar Answer on 3S - Full', 'MSA and AAD Report', 'Cortana UWP app - skill readiness', 'Things to Track', 'Search UX FY20', 'People Also Ask', 'Dev Monthly Plan', 'Microsoft Search User Job Framework', 'MSA and AAD Report1', 'Cortana in Teams R2 Weekly Shiproom', 'Android Core skills+Extras', 'iOS Commute Outlook Pass', 'Substrate Perf Shiproom - 2020-1-29'], 'UserFileNameKeyPhrases': ['shiproom', 'fy20', 'outlook mobile', 'perf', 'cortana in teams', 'cortana teams', 'msai', 'checkpoint', 'mobile quarterly checkpoint', 'quarterly plan checkpoint', 'outlook mobile quarterly', 'assistant outlook mobile', 'outlook quarterly plan', 'mobile plan checkpoint', 'mobile quarterly plan', 'assistant and search', 'quarterly checkpoint', 'assistant in outlook', 'search and assistant', 'outlook mobile plan']}	NegativeCrossDomainNoMatch
Call jerricka dear.	COMMUNICATION	make_call	Call <contact_name>jerricka dear</contact_name>.	{'UserFileNames': ['H1 Features Test Plan', 'S+A OM focused Shiproom 01282020', 'AI+R Scorecard', 'Cortana UWP app - skill readiness', 'STCI MSAI Shiproom - Current', 'Error handling and polite refusals', 'Cortana transition announcement - DRAFT', 'FY21 Substrate Budget Planning', 'KWS Manual Testing', 'General', 'S+A Shiproom-TM-Latest', 'Jan2020Status', 'LegacySkill', 'CMCC Project', 'OneNote_DeletedPages', 'Cortana on Windows Vibranium International Plan', 'Outlook Mobile SERP Migration', 'Bing Answers test cases', 'S+A H2 Planning', '2019-01 CoralQual'], 'UserFileNameKeyPhrases': ['shiproom', 'cortana teams', 'msai', 'cortana in teams', 'voice skills', 'fy20', 'voice', 'wave 1', 'ai', 'skills test', 'communication collaboration post', 'communication and collaboration', 'collaboration and communication', 'communication collaboration', 'collaboration post wave', 'communication and post', 'teams weekly shiproom', 'collaboration wave 1', 'collaboration post 1', 'voice skills manual']}	NegativeCrossDomainNoMatch
Message Shwetambari.	COMMUNICATION	send_text	Message <contact_name>Shwetambari</contact_name>.	{'UserFileNames': ['Running Feature Rollouts', 'LUFY20WorkingSession', 'AI in M365 for MSAI Customer Deck', 'Cortana on Windows Vibranium International Plan', 'FY21 Substrate Budget Planning', 'SM FY20 preview scenarios', 'Bing Answers test cases', 'GRC Review Office Hours Sign-Up Sheet', 'Task Ranking Specs v2', 'S+A OM focused Shiproom 02042020', 'Android Core skills+Extras', 'TeamsTeamDefectRate', 'Universal Search + Assistant - FY20 Q3 Backlog', 'CustomizationData_CortanaInTeams_20190620', 'Cortana on Windows - 6 February 2020 Working Session', 'OMC Calendar Compose', 'FY20 Annotation Asks', 'One Communications Intelligence Framing', 'assistant_discoverability_framework', 'Embedded Intelligence Checkpoint (Jan 2020)'], 'UserFileNameKeyPhrases': ['shiproom', 'msai', 'cortana in teams', 'cortana teams', 'voice skills', 'substrate', 'ai', 'fy20', 'shiproom current', 'teams 2020', 'review jan', 'voice', 'jan 20', 'knowledge', 'bot', 'skills test', 'extraction meeting transcript', 'highlights extraction meeting', 'extraction from transcript', 'highlights from meeting']}	NegativeCrossDomainNoMatch
